{'timestamp': '2024-01-30 21:35:47', 'cpu_usage': 10.9, 'memory_usage': 63.28, 'disk_free': 728809}
{'timestamp': '2024-01-30 21:35:57', 'cpu_usage': 14.1, 'memory_usage': 63.42, 'disk_free': 728814}
{'timestamp': '2024-01-30 21:36:06', 'cpu_usage': 39.8, 'memory_usage': 63.24, 'disk_free': 728814}
{'timestamp': '2024-01-30 21:36:16', 'cpu_usage': 0.8, 'memory_usage': 63.24, 'disk_free': 728801}
{'timestamp': '2024-01-30 21:36:26', 'cpu_usage': 5.4, 'memory_usage': 63.12, 'disk_free': 728795}
{'timestamp': '2024-01-30 21:36:35', 'cpu_usage': 15.2, 'memory_usage': 63.43, 'disk_free': 728782}
{'timestamp': '2024-01-30 21:36:45', 'cpu_usage': 4.5, 'memory_usage': 63.26, 'disk_free': 728771}
{'timestamp': '2024-01-30 21:36:54', 'cpu_usage': 7.1, 'memory_usage': 63.07, 'disk_free': 728764}
{'timestamp': '2024-01-30 21:37:04', 'cpu_usage': 0.8, 'memory_usage': 62.95, 'disk_free': 728751}
{'timestamp': '2024-01-30 21:37:14', 'cpu_usage': 7.6, 'memory_usage': 63.12, 'disk_free': 728737}
{'timestamp': '2024-01-30 21:37:24', 'cpu_usage': 31.1, 'memory_usage': 63.09, 'disk_free': 728737}
{'timestamp': '2024-01-30 21:37:33', 'cpu_usage': 1.6, 'memory_usage': 63.03, 'disk_free': 728737}
{'timestamp': '2024-01-30 21:37:42', 'cpu_usage': 5.6, 'memory_usage': 63.06, 'disk_free': 728724}
{'timestamp': '2024-01-30 21:37:52', 'cpu_usage': 4.7, 'memory_usage': 63.3, 'disk_free': 728701}
{'timestamp': '2024-01-30 21:38:02', 'cpu_usage': 7.8, 'memory_usage': 63.21, 'disk_free': 728681}
{'timestamp': '2024-01-30 21:38:12', 'cpu_usage': 9.9, 'memory_usage': 63.16, 'disk_free': 728679}
{'timestamp': '2024-01-30 21:38:21', 'cpu_usage': 11.2, 'memory_usage': 63.05, 'disk_free': 728679}
{'timestamp': '2024-01-30 21:38:31', 'cpu_usage': 7.1, 'memory_usage': 63.0, 'disk_free': 728666}
{'timestamp': '2024-01-30 21:38:40', 'cpu_usage': 20.9, 'memory_usage': 62.85, 'disk_free': 728657}
{'timestamp': '2024-01-30 21:38:50', 'cpu_usage': 10.8, 'memory_usage': 62.86, 'disk_free': 728657}
{'timestamp': '2024-01-30 21:39:00', 'cpu_usage': 13.3, 'memory_usage': 62.9, 'disk_free': 728657}
{'timestamp': '2024-01-30 21:39:10', 'cpu_usage': 2.3, 'memory_usage': 62.76, 'disk_free': 728647}
{'timestamp': '2024-01-30 21:39:19', 'cpu_usage': 23.1, 'memory_usage': 62.89, 'disk_free': 728634}
{'timestamp': '2024-01-30 21:39:29', 'cpu_usage': 9.8, 'memory_usage': 62.95, 'disk_free': 728627}
{'timestamp': '2024-01-30 21:39:37', 'cpu_usage': 38.5, 'memory_usage': 62.78, 'disk_free': 728627}
{'timestamp': '2024-01-30 21:39:46', 'cpu_usage': 4.7, 'memory_usage': 62.88, 'disk_free': 728627}
{'timestamp': '2024-01-30 21:40:20', 'cpu_usage': 2.3, 'memory_usage': 63.86, 'disk_free': 728575}
{'timestamp': '2024-01-30 21:40:30', 'cpu_usage': 22.4, 'memory_usage': 63.75, 'disk_free': 728574}
{'timestamp': '2024-01-30 21:40:40', 'cpu_usage': 17.8, 'memory_usage': 63.79, 'disk_free': 728561}
{'timestamp': '2024-01-30 21:40:51', 'cpu_usage': 5.5, 'memory_usage': 63.74, 'disk_free': 728564}
{'timestamp': '2024-01-30 21:41:01', 'cpu_usage': 4.5, 'memory_usage': 63.73, 'disk_free': 728564}
{'timestamp': '2024-01-30 21:41:11', 'cpu_usage': 9.4, 'memory_usage': 63.68, 'disk_free': 728564}
{'timestamp': '2024-01-30 21:41:21', 'cpu_usage': 7.0, 'memory_usage': 63.64, 'disk_free': 728564}
{'timestamp': '2024-01-30 21:41:31', 'cpu_usage': 7.1, 'memory_usage': 63.53, 'disk_free': 728558}
{'timestamp': '2024-01-30 21:41:41', 'cpu_usage': 18.9, 'memory_usage': 63.48, 'disk_free': 728558}
{'timestamp': '2024-01-30 21:41:51', 'cpu_usage': 18.5, 'memory_usage': 63.63, 'disk_free': 728551}
{'timestamp': '2024-01-30 21:42:01', 'cpu_usage': 13.2, 'memory_usage': 63.39, 'disk_free': 728551}
{'timestamp': '2024-01-30 21:42:11', 'cpu_usage': 6.2, 'memory_usage': 63.53, 'disk_free': 728551}
{'timestamp': '2024-01-30 21:42:21', 'cpu_usage': 11.7, 'memory_usage': 63.39, 'disk_free': 728551}
{'timestamp': '2024-01-30 21:42:31', 'cpu_usage': 3.0, 'memory_usage': 63.44, 'disk_free': 728544}
{'timestamp': '2024-01-30 21:44:01', 'cpu_usage': 12.5, 'memory_usage': 63.96, 'disk_free': 728504}
{'timestamp': '2024-01-30 21:44:12', 'cpu_usage': 20.0, 'memory_usage': 63.93, 'disk_free': 728497}
