{'timestamp': '2024-01-30 23:41:57', 'cpu_usage': 1.6, 'memory_free': 66.1, 'disk_free': 736298}
{'timestamp': '2024-01-30 23:42:10', 'cpu_usage': 65.9, 'memory_free': 64.6, 'disk_free': 735898}
{'timestamp': '2024-01-30 23:42:24', 'cpu_usage': 5.5, 'memory_free': 64.6, 'disk_free': 735617}
{'timestamp': '2024-01-30 23:42:37', 'cpu_usage': 1.5, 'memory_free': 64.7, 'disk_free': 735696}
{'timestamp': '2024-01-30 23:42:51', 'cpu_usage': 0.7, 'memory_free': 65.1, 'disk_free': 735608}
{'timestamp': '2024-01-30 23:43:04', 'cpu_usage': 0.0, 'memory_free': 65.2, 'disk_free': 735598}
{'timestamp': '2024-01-30 23:43:17', 'cpu_usage': 3.9, 'memory_free': 65.2, 'disk_free': 735441}
{'timestamp': '2024-01-30 23:43:30', 'cpu_usage': 0.8, 'memory_free': 65.2, 'disk_free': 735434}
{'timestamp': '2024-01-30 23:43:43', 'cpu_usage': 0.0, 'memory_free': 65.1, 'disk_free': 735425}
{'timestamp': '2024-01-30 23:43:56', 'cpu_usage': 1.6, 'memory_free': 65.1, 'disk_free': 735425}
{'timestamp': '2024-01-30 23:44:09', 'cpu_usage': 3.1, 'memory_free': 65.1, 'disk_free': 735398}
{'timestamp': '2024-01-30 23:44:22', 'cpu_usage': 0.0, 'memory_free': 65.2, 'disk_free': 735395}
{'timestamp': '2024-01-30 23:44:35', 'cpu_usage': 2.3, 'memory_free': 65.3, 'disk_free': 735389}
{'timestamp': '2024-01-30 23:44:48', 'cpu_usage': 0.0, 'memory_free': 65.3, 'disk_free': 735380}
{'timestamp': '2024-01-30 23:45:01', 'cpu_usage': 4.5, 'memory_free': 64.7, 'disk_free': 735373}
{'timestamp': '2024-01-30 23:45:14', 'cpu_usage': 3.9, 'memory_free': 65.1, 'disk_free': 735696}
{'timestamp': '2024-01-30 23:45:28', 'cpu_usage': 3.0, 'memory_free': 65.1, 'disk_free': 735685}
{'timestamp': '2024-01-30 23:45:41', 'cpu_usage': 4.5, 'memory_free': 65.1, 'disk_free': 735680}
